Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Bi Te 
     -2.47000    170.80650     50.56118    120.24531
     -2.46000    159.24327     47.14608    112.09719
     -2.45000     85.93698     25.61546     60.32153
     -2.44000    115.39847     34.30985     81.08862
     -2.43000    180.97957     53.62661    127.35296
     -2.42000    129.63932     38.50195     91.13738
     -2.41000     53.56249     15.95003     37.61246
     -2.40000     35.31638     10.66493     24.65144
     -2.39000     54.93706     19.56099     35.37607
     -2.38000    113.12393     44.78171     68.34222
     -2.37000    184.16264     68.96294    115.19969
     -2.36000    236.78944     79.51855    157.27089
     -2.35000    241.94517     75.60777    166.33741
     -2.34000    247.11822     75.69143    171.42679
     -2.33000    254.51122     83.26809    171.24313
     -2.32000    277.27920     92.32935    184.94984
     -2.31000    240.98290     74.21826    166.76464
     -2.30000    196.05344     54.33231    141.72113
     -2.29000    278.91851     79.03418    199.88433
     -2.28000    373.97357    110.01696    263.95661
     -2.27000    253.79095     74.70918    179.08177
     -2.26000     90.08741     25.67090     64.41651
     -2.25000     40.18690     10.86057     29.32633
     -2.24000     45.05483     12.81617     32.23866
     -2.23000     97.27536     30.83093     66.44444
     -2.22000    181.51989     59.82534    121.69455
     -2.21000    165.93645     54.57654    111.35991
     -2.20000    111.96896     35.61689     76.35206
     -2.19000    168.76344     53.38005    115.38339
     -2.18000    232.04551     73.30130    158.74421
     -2.17000    240.41133     75.33043    165.08090
     -2.16000    219.28390     72.21879    147.06511
     -2.15000    163.79977     61.15236    102.64741
     -2.14000    101.44482     39.62061     61.82421
     -2.13000     49.61910     17.14886     32.47024
     -2.12000     46.96018     14.52624     32.43394
     -2.11000    133.50365     44.03666     89.46699
     -2.10000    295.11738     98.19230    196.92508
     -2.09000    302.82367     98.96957    203.85410
     -2.08000    142.07305     44.86538     97.20766
     -2.07000     45.34161     13.20238     32.13923
     -2.06000     28.19216      7.43381     20.75835
     -2.05000     29.87098      7.78955     22.08143
     -2.04000     44.18816     12.54437     31.64379
     -2.03000    106.11440     33.24071     72.87369
     -2.02000    185.58691     59.76849    125.81842
     -2.01000    147.36689     47.12543    100.24147
     -2.00000     62.03607     18.70061     43.33545
     -1.99000     42.20308     12.09241     30.11067
     -1.98000     91.18300     29.56757     61.61543
     -1.97000    180.46692     61.61794    118.84898
     -1.96000    182.89538     61.29145    121.60392
     -1.95000    136.89711     41.10299     95.79411
     -1.94000    111.48329     30.66752     80.81578
     -1.93000     67.00174     17.84295     49.15879
     -1.92000     40.95512     10.60517     30.34994
     -1.91000     35.02888      8.87248     26.15641
     -1.90000     34.53476      8.49073     26.04403
     -1.89000     34.40465      8.27116     26.13349
     -1.88000     34.33684      8.04938     26.28746
     -1.87000     45.55774      9.14537     36.41237
     -1.86000     88.80983     14.26360     74.54623
     -1.85000    120.30991     18.16345    102.14646
     -1.84000     86.63169     14.76150     71.87019
     -1.83000     57.18416     13.19925     43.98492
     -1.82000     80.78543     23.53953     57.24589
     -1.81000    118.47535     36.87384     81.60150
     -1.80000     96.52598     29.26250     67.26348
     -1.79000     55.31917     14.95147     40.36770
     -1.78000     41.50332     10.31281     31.19052
     -1.77000     37.95366      9.42007     28.53359
     -1.76000     35.24873      8.70738     26.54135
     -1.75000     36.90438      8.56570     28.33868
     -1.74000     62.99197     10.84014     52.15183
     -1.73000    144.17199     17.86121    126.31078
     -1.72000    191.53441     22.08337    169.45104
     -1.71000    123.38649     17.49856    105.88793
     -1.70000     83.19659     20.88617     62.31041
     -1.69000    109.68997     34.59038     75.09959
     -1.68000    101.00053     31.91164     69.08890
     -1.67000     61.52751     17.48927     44.03823
     -1.66000     45.47509     11.46443     34.01066
     -1.65000     39.57058      9.64817     29.92241
     -1.64000     39.37395      8.94252     30.43143
     -1.63000     73.03726     12.25310     60.78415
     -1.62000    173.19656     22.32250    150.87406
